date,county,state,fips,cases,deaths
2020-11-07,Barbour,West Virginia,54001,217,2
2020-11-07,Berkeley,West Virginia,54003,1874,18
2020-11-07,Boone,West Virginia,54005,446,6
2020-11-07,Braxton,West Virginia,54007,89,0
2020-11-07,Brooke,West Virginia,54009,282,5
2020-11-07,Cabell,West Virginia,54011,1783,37
2020-11-07,Calhoun,West Virginia,54013,37,0
2020-11-07,Clay,West Virginia,54015,74,3
2020-11-07,Doddridge,West Virginia,54017,77,1
2020-11-07,Fayette,West Virginia,54019,840,26
2020-11-07,Gilmer,West Virginia,54021,116,0
2020-11-07,Grant,West Virginia,54023,206,9
2020-11-07,Greenbrier,West Virginia,54025,246,5
2020-11-07,Hampshire,West Virginia,54027,175,1
2020-11-07,Hancock,West Virginia,54029,272,1
2020-11-07,Hardy,West Virginia,54031,117,1
2020-11-07,Harrison,West Virginia,54033,731,13
2020-11-07,Jackson,West Virginia,54035,455,24
2020-11-07,Jefferson,West Virginia,54037,700,10
2020-11-07,Kanawha,West Virginia,54039,4102,108
2020-11-07,Lewis,West Virginia,54041,138,2
2020-11-07,Lincoln,West Virginia,54043,298,2
2020-11-07,Logan,West Virginia,54045,834,46
2020-11-07,Marion,West Virginia,54049,456,5
2020-11-07,Marshall,West Virginia,54051,544,5
2020-11-07,Mason,West Virginia,54053,197,6
2020-11-07,McDowell,West Virginia,54047,167,0
2020-11-07,Mercer,West Virginia,54055,896,35
2020-11-07,Mineral,West Virginia,54057,329,4
2020-11-07,Mingo,West Virginia,54059,728,11
2020-11-07,Monongalia,West Virginia,54061,2471,7
2020-11-07,Monroe,West Virginia,54063,275,8
2020-11-07,Morgan,West Virginia,54065,177,0
2020-11-07,Nicholas,West Virginia,54067,211,3
2020-11-07,Ohio,West Virginia,54069,764,9
2020-11-07,Pendleton,West Virginia,54071,79,1
2020-11-07,Pleasants,West Virginia,54073,45,3
2020-11-07,Pocahontas,West Virginia,54075,76,0
2020-11-07,Preston,West Virginia,54077,264,5
2020-11-07,Putnam,West Virginia,54079,1123,15
2020-11-07,Raleigh,West Virginia,54081,951,11
2020-11-07,Randolph,West Virginia,54083,480,2
2020-11-07,Ritchie,West Virginia,54085,69,0
2020-11-07,Roane,West Virginia,54087,119,2
2020-11-07,Summers,West Virginia,54089,169,3
2020-11-07,Taylor,West Virginia,54091,182,8
2020-11-07,Tucker,West Virginia,54093,69,0
2020-11-07,Tyler,West Virginia,54095,80,0
2020-11-07,Upshur,West Virginia,54097,300,4
2020-11-07,Wayne,West Virginia,54099,672,12
2020-11-07,Webster,West Virginia,54101,42,0
2020-11-07,Wetzel,West Virginia,54103,266,8
2020-11-07,Wirt,West Virginia,54105,58,1
2020-11-07,Wood,West Virginia,54107,957,9
2020-11-07,Wyoming,West Virginia,54109,417,5
